date,sprtrn,spindx
1996/1/31,0.032617,636.02
1996/2/29,0.006934,640.43
1996/3/29,0.007917,645.5
1996/4/30,0.013432,654.17
1996/5/31,0.022853,669.12
1996/6/28,0.002257,670.63
1996/7/31,-0.045748,639.95
1996/8/30,0.018814,651.99
1996/9/30,0.054173,687.31
1996/10/31,0.026131,705.27
1996/11/29,0.073376,757.02
1996/12/31,-0.021505,740.74
1997/1/31,0.061317,786.16
1997/2/28,0.005928,790.82
1997/3/31,-0.042614,757.12
1997/4/30,0.058406,801.34
1997/5/30,0.058577,848.28
1997/6/30,0.043453,885.14
1997/7/31,0.078123,954.29
1997/8/29,-0.057446,899.47
1997/9/30,0.053154,947.28
1997/10/31,-0.034478,914.62
1997/11/28,0.044587,955.4
1997/12/31,0.015732,970.43
1998/1/30,0.01015,980.28
1998/2/27,0.070449,1049.34
1998/3/31,0.049946,1101.75
1998/4/30,0.009076,1111.75
1998/5/29,-0.018826,1090.82
1998/6/30,0.039438,1133.84
1998/7/31,-0.011615,1120.67
1998/8/31,-0.145797,957.28
1998/9/30,0.062396,1017.01
1998/10/30,0.080294,1098.67
1998/11/30,0.059126,1163.63
1998/12/31,0.056375,1229.23
1999/1/29,0.041009,1279.64
1999/2/26,-0.032283,1238.33
1999/3/31,0.038794,1286.37
1999/4/30,0.037944,1335.18
1999/5/28,-0.02497,1301.84
1999/6/30,0.054438,1372.71
1999/7/30,-0.032046,1328.72
1999/8/31,-0.006254,1320.41
1999/9/30,-0.028552,1282.71
1999/10/29,0.06254,1362.93
1999/11/30,0.019062,1388.91
1999/12/31,0.057844,1469.25
2000/1/31,-0.050904,1394.46
2000/2/29,-0.020108,1366.42
2000/3/31,0.09672,1498.58
2000/4/28,-0.030796,1452.43
2000/5/31,-0.021915,1420.6
2000/6/30,0.023934,1454.6
2000/7/31,-0.016341,1430.83
2000/8/31,0.060699,1517.68
2000/9/29,-0.053483,1436.51
2000/10/31,-0.00495,1429.4
2000/11/30,-0.080069,1314.95
2000/12/29,0.004053,1320.28
2001/1/31,0.034637,1366.01
2001/2/28,-0.092291,1239.94
2001/3/30,-0.064205,1160.33
2001/4/30,0.076814,1249.46
2001/5/31,0.00509,1255.82
2001/6/29,-0.025004,1224.42
2001/7/31,-0.010772,1211.23
2001/8/31,-0.064108,1133.58
2001/9/28,-0.081723,1040.94
2001/10/31,0.018099,1059.78
2001/11/30,0.075176,1139.45
2001/12/31,0.007574,1148.08
2002/1/31,-0.015574,1130.2
2002/2/28,-0.020766,1106.73
2002/3/28,0.036739,1147.39
2002/4/30,-0.061418,1076.92
2002/5/31,-0.009081,1067.14
2002/6/28,-0.072465,989.81
2002/7/31,-0.078995,911.62
