date,sprtrn,spindx,risk free rate,fwd_6m,fwdprc_6m,Pt,year_month
1996-01-31,0.032617,636.02,0.07152228,647.2905261,647290.5261,636020,1996-01
1996-02-29,0.006934,640.43,0.01937028,649.1581556,649158.1556,640430,1996-02
1996-03-29,0.007917,645.5,0.02678001,657.7920039,657792.0039,645500,1996-03
1996-04-30,0.013432,654.17,0.00705327,665.4880064,665488.0064,654170,1996-04
1996-05-31,0.022853,669.12,0.04438434,683.0914137,683091.4137,669120,1996-05
1996-06-28,0.002257,670.63,0.04167246,682.2625918,682262.5918,670630,1996-06
1996-07-31,-0.045748,639.95,0.02317827,652.5413083,652541.3083,639950,1996-07
1996-08-30,0.018814,651.99,0.08329446,663.9972377,663997.2377,651990,1996-08
1996-09-30,0.054173,687.31,0.00625751,703.0661062,703066.1062,687310,1996-09
1996-10-31,0.026131,705.27,0.04919627,721.3074688,721307.4688,705270,1996-10
1996-11-29,0.073376,757.02,0.00276559,774.8661262,774866.1262,757020,1996-11
1996-12-31,-0.021505,740.74,0.06912066,759.0312607,759031.2607,740740,1996-12
1997-01-31,0.061317,786.16,0.00835069,802.4297401,802429.7401,786160,1997-01
1997-02-28,0.005928,790.82,0.13629521,809.5424651,809542.4651,790820,1997-02
1997-03-31,-0.042614,757.12,0.00408901,772.5089598,772508.9598,757120,1997-03
1997-04-30,0.058406,801.34,0.05898605,817.5379781,817537.9781,801340,1997-04
1997-05-30,0.058577,848.28,0.0158777,861.4290705,861429.0705,848280,1997-05
1997-06-30,0.043453,885.14,0.02220893,898.4661377,898466.1377,885140,1997-06
1997-07-31,0.078123,954.29,0.04332928,968.9107898,968910.7898,954290,1997-07
1997-08-29,-0.057446,899.47,0.09697118,913.6928185,913692.8185,899470,1997-08
1997-09-30,0.053154,947.28,0.00277124,955.1184333,955118.4333,947280,1997-09
1997-10-31,-0.034478,914.62,0.00342507,924.3280291,924328.0291,914620,1997-10
1997-11-28,0.044587,955.4,0.01061262,970.6200348,970620.0348,955400,1997-11
1997-12-31,0.015732,970.43,0.02534983,992.7385319,992738.5319,970430,1997-12
1998-01-30,0.01015,980.28,0.04913481,1002.772173,1002772.173,980280,1998-01
1998-02-27,0.070449,1049.34,0.00759395,1069.159689,1069159.689,1049340,1998-02
1998-03-31,0.049946,1101.75,0.0305838,1123.206949,1123206.949,1101750,1998-03
1998-04-30,0.009076,1111.75,0.06638472,1131.014422,1131014.422,1111750,1998-04
1998-05-29,-0.018826,1090.82,0.09368944,1108.842498,1108842.498,1090820,1998-05
1998-06-30,0.039438,1133.84,0.02483774,1146.136909,1146136.909,1133840,1998-06
1998-07-31,-0.011615,1120.67,0.00144964,1131.543535,1131543.535,1120670,1998-07
1998-08-31,-0.145797,957.28,0.01451206,969.0384905,969038.4905,957280,1998-08
1998-09-30,0.062396,1017.01,0.00528158,1033.181375,1033181.375,1017010,1998-09
1998-10-30,0.080294,1098.67,0.05687318,1120.856781,1120856.781,1098670,1998-10
1998-11-30,0.059126,1163.63,0.02648951,1187.191624,1187191.624,1163630,1998-11
1998-12-31,0.056375,1229.23,0.01126531,1284.700676,1284700.676,1229230,1998-12
1999-01-29,0.041009,1279.64,0.0320792,1342.491485,1342491.485,1279640,1999-01
1999-02-26,-0.032283,1238.33,0.05732089,1323.509272,1323509.272,1238330,1999-02
1999-03-31,0.038794,1286.37,0.05588813,1372.036878,1372036.878,1286370,1999-03
1999-04-30,0.037944,1335.18,0.05751027,1419.479454,1419479.454,1335180,1999-04
1999-05-28,-0.02497,1301.84,0.31558977,1379.290421,1379290.421,1301840,1999-05
1999-06-30,0.054438,1372.71,0.05699274,1417.657396,1417657.396,1372710,1999-06
1999-07-30,-0.032046,1328.72,0.25497481,1373.523989,1373523.989,1328720,1999-07
1999-08-31,-0.006254,1320.41,0.0327096,1341.0868,1341086.8,1320410,1999-08
1999-09-30,-0.028552,1282.71,0.01691211,1299.977722,1299977.722,1282710,1999-09
1999-10-29,0.06254,1362.93,0.01630734,1407.25071,1407250.71,1362930,1999-10
1999-11-30,0.019062,1388.91,0.0087302,1436.707487,1436707.487,1388910,1999-11
1999-12-31,0.057844,1469.25,0.06832937,1543.807316,1543807.316,1469250,1999-12
2000-01-31,-0.050904,1394.46,0.04346781,1471.901572,1471901.572,1394460,2000-01
2000-02-29,-0.020108,1366.42,0.00671837,1441.572447,1441572.447,1366420,2000-02
2000-03-31,0.09672,1498.58,0.24046078,1580.116668,1580116.668,1498580,2000-03
2000-04-28,-0.030796,1452.43,0.03831061,1502.053975,1502053.975,1452430,2000-04
2000-05-31,-0.021915,1420.6,0.19670804,1468.398989,1468398.989,1420600,2000-05
2000-06-30,0.023934,1454.6,0.12290928,1484.906096,1484906.096,1454600,2000-06
2000-07-31,-0.016341,1430.83,0.03737669,1446.275064,1446275.064,1430830,2000-07
